imageUrl,title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categoryName,url
https://lh3.googleusercontent.com/p/AF1QipMdpKiRTcVnXphoQd38wkDowiGcOQnQqTNiSAOc=w408-h306-k-no,Abraham Moss Library & Leisure Centre,3.9,546,140 Crescent Rd,Manchester,,GB,https://www.better.org.uk/leisure-centre/manchester/abraham-moss?utm_source=google&utm_medium=organic&utm_campaign=google_my_business,#ERROR!,Sauna,https://www.google.com/maps/search/?api=1&query=Abraham%20Moss%20Library%20%26%20Leisure%20Centre&query_place_id=ChIJE9dBQ0awe0gR_SQGxy_awsc
https://lh3.googleusercontent.com/p/AF1QipNu0nw11pZT3USG2-abDicVz8dJOKMBRPXIrevw=w408-h306-k-no,Horn Cote Country Escape and Spa,4.7,72,Farm Horn Cote Ln,Holmfirth,,GB,http://www.horncotehens.co.uk/,#ERROR!,Sauna,https://www.google.com/maps/search/?api=1&query=Horn%20Cote%20Country%20Escape%20and%20Spa&query_place_id=ChIJr1lYOhLZe0gRiuehgn4Hy5k
https://lh3.googleusercontent.com/p/AF1QipOOvuqT8W4N2u_0h2Hcy-QxNc5TErRIJ1W1e1Ek=w408-h272-k-no,"Floatlife Woolton, Floatation Spa & Sauna.",5,148,60A Allerton Rd,Liverpool,,GB,https://floatlife.co.uk/,#ERROR!,Sauna,https://www.google.com/maps/search/?api=1&query=Floatlife%20Woolton%2C%20Floatation%20Spa%20%26%20Sauna.&query_place_id=ChIJzcLbl6cfe0gR4ubVvNGxqWY
https://lh3.googleusercontent.com/p/AF1QipN-ItJWehNQDvDOGXOfPsMmZXZYRsWeu2iuePey=w408-h301-k-no,Dolphin Sauna,3.4,20,129 Mount Rd,Wallasey,,GB,https://www.dolphinsauna.co.uk/,#ERROR!,Sauna,https://www.google.com/maps/search/?api=1&query=Dolphin%20Sauna&query_place_id=ChIJdbUJ6okne0gRlsxkHTu57X4
https://lh3.googleusercontent.com/p/AF1QipNitYCAiTvhPzZ4UcoXyoaYGQSOPLCkgHkqlh76=w408-h543-k-no,"RESTORE Wellness | Sauna, Steam and Ice Bath Bolton",5,48,1-3 Eden St,Bolton,,GB,https://restorewellness.uk/,#ERROR!,Sauna,https://www.google.com/maps/search/?api=1&query=RESTORE%20Wellness%20%7C%20Sauna%2C%20Steam%20and%20Ice%20Bath%20Bolton&query_place_id=ChIJewErrAune0gRw1WZFRmvL9I
https://lh3.googleusercontent.com/p/AF1QipNPOtmNbZ5_hxskya097SmZ10hjwQxwi_O3GVrA=w408-h271-k-no,The Spa At The Park Royal,4.1,67,Stretton Rd,Warrington,,GB,https://www.theparkroyal.co.uk/spa/,#ERROR!,Sauna,https://www.google.com/maps/search/?api=1&query=The%20Spa%20At%20The%20Park%20Royal&query_place_id=ChIJ90li8N_9ekgRkAchrTcJzMg
https://lh3.googleusercontent.com/p/AF1QipOpLAoc1MG2lzIdno36firPkE1oh0BXuhSsZ4YQ=w408-h544-k-no,detox wirral,5,16,Gunsite Carpark,Wallasey,,GB,https://www.detoxwirral.co.uk/,#ERROR!,Sauna,https://www.google.com/maps/search/?api=1&query=detox%20wirral&query_place_id=ChIJx_Eih9wne0gRtWMjKP6LBtI
https://lh3.googleusercontent.com/gps-cs-s/AG0ilSze5sJNgSbRJ7OIoqiMTqBYCMwu7QAo8ZO99JmFJAbdxSEN3QDgy9QFx-UmH07SFlieTddpeW8HMHFXtX-ZOBW_Fx6_rkk2hdwLSjkHHHKgogOG-cBBpgLxTjMZi9LnpaPsFoU9=w408-h544-k-no,Tân a Rhew,5,12,Pencoed Fach Farm,Blackwood,,GB,https://www.pencoedfachfarm.com/tan-a-rhew,,Sauna,https://www.google.com/maps/search/?api=1&query=T%C3%A2n%20a%20Rhew&query_place_id=ChIJu206EZQhbkgRGzgRBwM_a9g
https://lh3.googleusercontent.com/p/AF1QipP5cRI4waQLZvDyqGOdlVJwSAqsNc7ezVV_vUCE=w408-h544-k-no,Rejoov,5,55,"Unit 4, Whitecross Business Park, Church Rd",Lydney,,GB,https://rejoov.uk/,,Sauna,https://www.google.com/maps/search/?api=1&query=Rejoov&query_place_id=ChIJi8xD4Lm8cUgREnOhEcbpYcg
https://lh3.googleusercontent.com/p/AF1QipNUxkTq7X8BjqwCKfMDQMch1816EquK62BSHL9Y=w426-h240-k-no,Nuffield Health Cwmbran Fitness & Wellbeing Gym,3.8,163,"Wilcrick Place, Avondale Road",Cwmbran,,GB,https://www.nuffieldhealth.com/gyms/cwmbran?utm_source=google&utm_medium=local&utm_campaign=GoogleLocal-Cwmbran,#ERROR!,Sauna,https://www.google.com/maps/search/?api=1&query=Nuffield%20Health%20Cwmbran%20Fitness%20%26%20Wellbeing%20Gym&query_place_id=ChIJ-9Uo1QrecUgRZrf_ya3O9Mk
https://lh3.googleusercontent.com/p/AF1QipMZo4OH2dUOGkbJ7DqqKRZQvquXJ1oqVC1f0rCB=w408-h272-k-no,Bryn Meadows Golf Hotel & Spa,4.3,1809,,Ystrad Mynach,,GB,https://www.brynmeadows.co.uk/,#ERROR!,Sauna,https://www.google.com/maps/search/?api=1&query=Bryn%20Meadows%20Golf%20Hotel%20%26%20Spa&query_place_id=ChIJ45Yyi6sYbkgRVlKMFK6-s50
https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=VUPNeeEnVc_tZfqOCuY9uA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=349.11508&pitch=0&thumbfov=100,Mahala Sauna Limited,5,2,"Fox & Pheasant Centre, The, Colchester Rd",White Colne,,GB,,#ERROR!,Sauna,https://www.google.com/maps/search/?api=1&query=Mahala%20Sauna%20Limited&query_place_id=ChIJoWiY0gP92EcRRWCtSIZq8AY
https://lh3.googleusercontent.com/p/AF1QipN_iqtJcRKH8boJSNhwaU3okY81IdK97t-AQptW=w408-h408-k-no,Nuffield Health Chelmsford Fitness & Wellbeing Centre,3.9,143,"6, Riverside Retail Park, 38 Victoria Rd",Chelmsford,,GB,https://www.nuffieldhealth.com/gyms/chelmsford?utm_source=google&utm_medium=local&utm_campaign=GoogleLocal-Chelmsford,#ERROR!,Sauna,https://www.google.com/maps/search/?api=1&query=Nuffield%20Health%20Chelmsford%20Fitness%20%26%20Wellbeing%20Centre&query_place_id=ChIJe-ZusGPp2EcRr_5c9v1gPpU
